uid,iid,rating
487,6353,1.0
30,4380,4.75
581,1571,3.25
493,2196,3.75
310,464,3.0
59,4109,5.0
164,5787,3.0
332,4816,2.0
492,7519,3.5
513,6508,4.0
23,1751,4.75
418,4263,2.5
416,7381,2.5
292,6219,4.25
124,6414,2.0
285,4851,4.0
111,4918,4.0
139,3000,4.75
341,7521,0.5
401,2655,2.25
96,3203,4.0
585,4240,4.5
242,2199,2.25
434,6204,3.75
282,2047,3.25
63,3598,3.75
400,526,4.25
505,5960,2.0
545,1829,0.0
61,5771,3.5
173,5526,3.75
95,232,4.25
168,7220,4.0
48,3953,3.0
399,1439,0.0
92,6201,4.25
168,2363,4.25
294,6984,2.0
266,2462,0.75
504,2346,1.0
11,730,1.5
370,789,3.25
171,6888,3.0
406,2049,0.75
497,5941,3.5
210,6504,3.5
319,7204,3.25
387,4808,3.75
197,3901,3.5
379,6355,3.5
298,7060,2.75
485,1225,3.75
36,1239,2.5
486,6218,3.5
512,6936,0.0
48,1388,4.25
88,4236,4.5
336,2143,3.5
353,759,0.0
200,1104,3.25
504,4109,5.0
164,2044,3.75
561,1914,4.25
66,2044,2.5
349,4646,2.25
319,4950,3.25
214,5785,0.25
169,5632,3.5
510,3221,4.5
187,954,4.0
320,1107,3.5
538,58,3.5
329,5779,3.75
268,1775,3.5
487,4953,1.25
330,5942,3.25
187,707,4.5
338,5377,4.0
533,7215,3.75
434,5240,3.75
232,6898,3.5
510,413,4.5
57,2965,2.5
181,426,2.5
350,4102,3.5
188,5632,4.5
59,1243,3.5
595,3703,4.0
319,3221,2.5
210,414,4.5
14,6905,4.25
67,6204,2.75
533,5379,3.75
37,6352,4.0
451,399,4.5
128,4263,4.25
337,5806,4.25
169,3066,4.25
513,416,3.75
340,1235,2.75
505,6968,2.75
48,7061,4.0
268,7517,4.0
486,1391,4.75
451,3434,2.25
235,2153,5.0
225,960,3.5
178,1404,5.0
38,5124,3.0
410,5774,3.5
258,4249,3.5
145,7091,2.5
177,4782,4.0
101,4391,1.75
465,6893,2.75
