uid,iid,rating
147,1,3.0
3747,1,5.0
860,2,5.0
2869,2,5.0
1043,2,5.0
3138,2,4.0
1950,2,3.0
381,3,5.0
4084,3,5.0
619,3,5.0
75,3,4.0
4141,4,5.0
1491,4,5.0
2057,4,3.0
975,4,5.0
851,4,5.0
3207,4,4.0
2696,4,5.0
2725,5,5.0
565,5,5.0
1640,6,5.0
2983,6,5.0
2284,6,3.0
1464,6,5.0
3030,6,5.0
1467,7,5.0
2726,7,5.0
1765,8,5.0
2089,8,5.0
2528,8,5.0
1523,8,5.0
3071,9,1.0
2689,9,5.0
626,9,5.0
3640,9,5.0
2081,9,5.0
1911,9,1.0
975,10,5.0
510,11,3.0
979,11,5.0
2323,12,3.0
621,12,3.0
4268,13,5.0
3776,13,5.0
4214,14,5.0
2779,14,5.0
3776,14,5.0
1591,14,5.0
3344,15,5.0
2178,15,5.0
428,15,5.0
225,15,4.0
2538,15,5.0
3442,15,5.0
1453,15,5.0
428,16,5.0
620,16,5.0
3602,16,2.0
2361,17,5.0
1203,17,4.0
2983,17,5.0
558,18,5.0
2917,18,5.0
1884,18,5.0
4084,18,5.0
2095,19,2.0
3911,19,5.0
1090,19,3.0
438,19,5.0
84,19,5.0
4250,20,5.0
557,20,5.0
2818,21,2.0
3053,22,2.0
1364,22,5.0
3153,22,5.0
1263,23,5.0
1023,23,4.0
1364,23,5.0
3640,24,5.0
2515,24,5.0
2907,24,5.0
1023,24,4.0
2961,24,5.0
1364,24,5.0
2624,24,5.0
495,24,5.0
120,25,5.0
3527,25,4.0
2905,25,5.0
2962,25,4.0
1606,26,4.0
3911,26,5.0
2154,26,5.0
591,26,5.0
4296,26,5.0
3745,27,5.0
1289,27,5.0
4204,27,5.0
2292,27,1.0
1398,27,5.0
635,27,5.0
883,27,5.0
2408,27,5.0
1756,27,5.0
1354,27,5.0
2474,27,5.0
273,27,5.0
1020,27,5.0
3171,27,3.0
3252,27,5.0
935,27,5.0
1755,27,5.0
3352,28,3.0
3956,28,5.0
1164,28,5.0
4240,29,5.0
1144,29,5.0
4042,30,5.0
1972,30,5.0
2517,30,5.0
2211,31,5.0
2978,31,5.0
3080,31,5.0
2213,31,5.0
1172,31,5.0
1232,31,5.0
2647,31,5.0
1844,31,5.0
3561,31,5.0
3918,31,4.0
274,31,5.0
3513,31,5.0
3078,31,5.0
1512,31,5.0
3868,31,4.0
2889,31,4.0
4047,31,5.0
1391,31,4.0
220,31,4.0
3635,32,5.0
1106,32,5.0
4221,33,5.0
2957,34,3.0
3777,34,4.0
1189,34,5.0
558,34,4.0
3080,34,5.0
1293,34,1.0
3593,34,5.0
3916,34,5.0
2126,34,5.0
1629,34,5.0
2341,34,5.0
1870,35,5.0
3761,35,5.0
1884,35,5.0
3771,35,1.0
3296,35,5.0
3080,36,5.0
3551,36,4.0
1452,36,5.0
3774,37,5.0
2698,37,5.0
1272,37,2.0
2414,37,5.0
2957,38,1.0
3777,38,1.0
3073,38,4.0
1798,38,5.0
1014,38,5.0
3278,39,5.0
2824,39,5.0
1939,39,5.0
3868,39,5.0
1014,39,5.0
2850,40,5.0
975,40,5.0
865,40,3.0
1554,40,2.0
2698,41,4.0
1844,41,5.0
3399,41,1.0
1554,41,2.0
2698,42,4.0
865,42,5.0
890,42,5.0
3108,42,5.0
1465,42,5.0
865,43,4.0
1554,43,4.0
2698,44,5.0
4185,44,5.0
1293,44,3.0
579,44,5.0
438,44,5.0
2786,45,5.0
3782,45,5.0
2993,45,5.0
213,45,5.0
943,46,3.0
3551,46,4.0
4276,46,5.0
3415,47,2.0
4259,48,5.0
4309,48,5.0
2208,49,5.0
2446,49,5.0
1881,50,3.0
265,50,4.0
784,50,5.0
21,50,2.0
577,50,4.0
3595,50,4.0
3651,50,5.0
871,51,4.0
431,51,5.0
1364,51,5.0
1587,52,5.0
2444,52,5.0
3977,52,5.0
2454,52,1.0
2226,52,3.0
2119,52,5.0
1208,52,5.0
2655,52,5.0
4296,52,5.0
3917,52,5.0
1722,52,5.0
2495,53,5.0
2641,53,5.0
900,53,2.0
1633,54,5.0
3346,54,5.0
2089,54,2.0
422,54,5.0
277,54,3.0
3437,54,1.0
3320,54,4.0
1644,54,3.0
1457,55,4.0
1602,55,5.0
727,55,4.0
2071,55,5.0
2747,56,5.0
3615,56,1.0
2764,56,5.0
195,56,5.0
1943,56,4.0
4143,56,5.0
731,57,5.0
2951,58,3.0
990,58,4.0
3818,58,5.0
1998,58,2.0
1124,58,5.0
2167,58,1.0
1593,58,1.0
1699,58,5.0
1199,58,5.0
3036,58,3.0
1371,58,5.0
2081,58,5.0
707,58,5.0
2680,58,1.0
2771,58,2.0
3316,58,5.0
3960,58,3.0
3901,58,3.0
2668,58,5.0
2864,58,4.0
2669,58,5.0
1297,58,5.0
2401,58,5.0
1921,58,4.0
1302,58,4.0
1727,58,5.0
270,58,3.0
2103,58,4.0
1545,58,4.0
1536,59,1.0
3628,59,5.0
1815,60,5.0
1129,60,5.0
1139,60,5.0
4220,60,5.0
2198,60,1.0
544,61,4.0
2713,61,5.0
4268,61,5.0
1759,61,5.0
3680,61,5.0
1255,61,2.0
4010,61,5.0
3975,61,5.0
661,61,5.0
1124,62,4.0
1367,62,5.0
4003,62,5.0
2771,62,4.0
2550,63,5.0
1587,63,5.0
2272,64,5.0
3371,64,5.0
1843,64,5.0
7,65,5.0
1018,65,5.0
1804,65,5.0
1241,65,5.0
2574,65,5.0
182,65,4.0
3633,65,5.0
1110,65,5.0
1892,65,5.0
73,65,5.0
1432,65,5.0
1592,65,5.0
1072,65,5.0
1237,65,4.0
2113,65,5.0
3332,65,5.0
574,65,5.0
4061,65,5.0
2812,65,5.0
2572,65,5.0
3042,65,5.0
1636,65,5.0
3867,65,5.0
2198,65,5.0
1512,65,5.0
1013,65,5.0
878,65,5.0
1161,65,5.0
1762,65,5.0
1871,65,5.0
152,65,5.0
111,65,5.0
743,65,5.0
2036,66,3.0
557,66,5.0
220,66,5.0
1324,67,5.0
2163,67,5.0
4311,67,5.0
3572,67,5.0
3670,68,5.0
213,68,5.0
318,69,1.0
1364,69,5.0
3794,69,4.0
51,69,5.0
1822,70,5.0
2948,71,5.0
1036,71,4.0
2234,71,5.0
2402,72,5.0
615,72,5.0
598,73,5.0
995,74,4.0
3302,74,3.0
69,74,4.0
2756,75,5.0
4081,75,5.0
1217,75,5.0
96,76,1.0
3487,77,5.0
1602,77,5.0
1910,77,5.0
382,78,5.0
995,78,3.0
3529,78,5.0
983,78,5.0
2003,79,5.0
1294,79,5.0
3027,79,5.0
3901,79,5.0
3314,79,5.0
3288,79,4.0
2644,79,3.0
1399,80,4.0
3080,80,5.0
414,80,4.0
3208,80,5.0
103,80,5.0
434,80,5.0
3638,80,5.0
1013,80,2.0
4316,80,5.0
1364,80,5.0
4047,80,4.0
328,80,4.0
1704,81,5.0
626,81,5.0
1901,81,5.0
4316,81,5.0
1364,81,5.0
2142,82,5.0
3049,82,5.0
2698,82,5.0
4135,82,5.0
406,82,3.0
3813,82,5.0
1728,82,5.0
1242,82,5.0
2698,83,5.0
428,83,5.0
4135,83,4.0
4170,83,4.0
4121,84,5.0
1109,84,5.0
372,84,3.0
4316,84,5.0
1503,84,5.0
4030,85,4.0
103,85,5.0
4164,85,5.0
768,86,1.0
1416,86,5.0
2465,86,4.0
3519,86,5.0
3209,87,4.0
1748,87,5.0
30,87,4.0
66,87,4.0
2922,87,4.0
3583,87,2.0
2059,87,5.0
2464,87,5.0
116,87,4.0
3403,87,5.0
1321,87,4.0
2788,87,4.0
1304,87,2.0
3108,87,4.0
2895,87,5.0
1369,87,5.0
2607,88,5.0
943,88,5.0
314,88,4.0
1727,88,5.0
2118,89,5.0
1292,89,5.0
264,89,5.0
420,89,5.0
3472,89,5.0
205,89,5.0
2122,89,4.0
1142,90,5.0
2492,90,5.0
3638,90,5.0
1186,90,5.0
1101,91,5.0
3675,91,5.0
3911,91,5.0
1161,91,4.0
2004,91,5.0
1146,92,5.0
1619,92,5.0
3,92,5.0
1565,92,5.0
1508,92,4.0
2198,92,2.0
518,92,5.0
1893,93,4.0
1058,93,5.0
2198,93,5.0
1545,93,4.0
3861,94,5.0
3745,94,5.0
2960,94,5.0
3677,94,5.0
3942,94,5.0
2444,94,5.0
3512,94,3.0
4203,94,3.0
2736,94,5.0
1058,94,5.0
3790,94,5.0
1840,94,5.0
788,94,5.0
314,94,5.0
4296,94,5.0
3975,94,5.0
3795,94,3.0
3432,94,5.0
2574,95,1.0
921,95,5.0
510,95,4.0
3960,95,5.0
2198,95,1.0
3156,95,5.0
1712,95,5.0
1005,96,5.0
16,97,5.0
2742,97,3.0
3537,97,5.0
152,97,5.0
1586,98,4.0
184,98,5.0
1967,98,5.0
3319,98,5.0
1367,99,3.0
73,99,4.0
2544,100,4.0
1860,100,5.0
2698,100,4.0
271,100,5.0
131,100,4.0
907,100,4.0
723,100,5.0
3558,101,5.0
3131,101,5.0
2473,101,5.0
4281,101,5.0
1908,101,5.0
907,101,5.0
1966,101,5.0
1958,102,4.0
3605,103,3.0
120,103,5.0
2059,103,4.0
2527,103,5.0
1830,104,5.0
2527,104,5.0
4311,104,5.0
1700,104,3.0
1248,105,1.0
1920,105,5.0
1874,106,5.0
4028,106,5.0
1591,106,5.0
3541,107,5.0
2698,107,5.0
958,107,4.0
3635,107,5.0
1884,107,5.0
3765,107,5.0
3023,108,4.0
3668,108,5.0
2293,108,5.0
957,108,2.0
3921,108,4.0
4222,108,2.0
3608,108,5.0
1769,108,3.0
3881,108,5.0
3682,108,4.0
1018,109,5.0
3947,110,4.0
2464,110,5.0
2203,110,4.0
382,111,5.0
759,111,5.0
3966,111,4.0
3760,112,5.0
1927,112,4.0
2464,113,5.0
2527,113,5.0
2636,114,4.0
2607,114,5.0
876,114,4.0
120,114,5.0
234,114,5.0
3099,114,5.0
2374,114,5.0
2304,114,5.0
3413,114,5.0
3923,114,5.0
574,114,5.0
3627,114,1.0
2993,114,5.0
4029,114,5.0
4197,114,4.0
1364,114,5.0
555,114,5.0
506,114,5.0
2234,114,5.0
1877,114,5.0
3337,114,5.0
1927,114,4.0
3777,115,3.0
3755,115,5.0
4288,115,4.0
1569,115,5.0
1552,115,4.0
3838,115,5.0
2849,115,2.0
4203,115,5.0
2420,115,1.0
1139,115,5.0
1849,115,4.0
2134,115,3.0
1770,115,1.0
2668,115,5.0
4145,115,4.0
4116,115,4.0
2009,115,5.0
3449,115,5.0
1238,115,5.0
2248,115,5.0
2820,115,5.0
2402,116,5.0
2186,116,5.0
4084,116,5.0
1874,117,5.0
1142,117,5.0
1101,117,5.0
2465,117,4.0
3172,117,5.0
4084,117,5.0
2047,117,3.0
2129,118,2.0
1604,118,4.0
489,118,5.0
834,118,4.0
3317,119,5.0
1925,119,5.0
1874,120,5.0
2698,120,5.0
3911,120,5.0
1102,120,5.0
3172,120,5.0
3571,120,5.0
4129,121,4.0
692,121,5.0
2679,121,5.0
1685,121,4.0
3281,121,1.0
1114,121,5.0
1823,121,5.0
335,121,1.0
589,121,5.0
1752,121,5.0
1273,121,5.0
3816,121,4.0
2487,121,1.0
714,121,5.0
3914,121,5.0
833,121,5.0
3954,121,5.0
2208,121,2.0
107,121,4.0
2306,121,5.0
3629,121,1.0
1046,121,3.0
657,121,4.0
2903,121,4.0
3241,121,5.0
1901,121,5.0
4302,121,5.0
1304,121,5.0
3796,121,4.0
369,122,3.0
1114,123,5.0
4028,123,5.0
1811,123,5.0
2961,123,5.0
2650,124,5.0
1635,124,5.0
3149,124,5.0
234,125,5.0
2974,125,5.0
2493,125,5.0
3790,125,5.0
4012,126,5.0
3674,126,5.0
146,126,5.0
1476,127,2.0
1364,127,5.0
2850,128,2.0
1457,128,5.0
3049,128,5.0
842,128,5.0
1362,129,5.0
2653,129,3.0
2398,129,4.0
1629,129,3.0
1163,130,5.0
1925,130,4.0
4146,130,5.0
411,131,5.0
764,131,5.0
4075,131,5.0
1014,131,5.0
1232,132,5.0
422,132,5.0
237,132,5.0
1512,132,5.0
235,132,4.0
3305,132,5.0
2563,133,5.0
1063,133,5.0
1478,133,5.0
422,133,5.0
1091,134,5.0
2493,134,5.0
3668,135,4.0
1728,135,5.0
381,136,5.0
2425,136,5.0
574,136,5.0
3602,136,5.0
2178,137,5.0
2517,137,5.0
2590,138,5.0
1278,138,5.0
2650,138,5.0
2786,138,5.0
3615,138,5.0
1930,138,5.0
1588,138,5.0
4197,138,5.0
1950,138,5.0
2091,138,5.0
3861,139,4.0
3757,139,1.0
2072,139,4.0
321,139,3.0
3684,139,4.0
103,139,5.0
415,139,4.0
1565,139,5.0
2933,139,5.0
1920,139,5.0
4104,139,5.0
971,139,4.0
1023,139,3.0
1372,139,5.0
334,139,5.0
1364,139,5.0
898,139,2.0
1469,139,5.0
1570,139,1.0
2150,139,1.0
3887,139,5.0
773,139,5.0
3414,139,4.0
1465,139,5.0
2292,140,5.0
2291,140,5.0
70,140,5.0
1592,140,5.0
925,140,4.0
2465,140,4.0
1372,140,5.0
2520,140,5.0
3685,141,5.0
3946,141,5.0
3836,141,4.0
1594,141,4.0
876,142,4.0
2444,142,5.0
2198,142,5.0
4096,142,5.0
1774,143,5.0
845,143,5.0
1092,143,5.0
2047,143,5.0
1267,144,5.0
1015,144,5.0
2447,144,5.0
1121,144,3.0
3452,145,5.0
1872,145,5.0
2076,145,3.0
1547,146,5.0
422,146,5.0
1128,146,1.0
466,146,5.0
132,146,5.0
236,146,5.0
2964,146,5.0
1267,147,3.0
740,147,4.0
1793,147,5.0
463,147,1.0
2726,147,2.0
1700,147,4.0
2360,148,5.0
131,148,5.0
485,148,5.0
3628,148,5.0
3999,148,5.0
3083,148,5.0
1579,149,3.0
407,149,5.0
2989,150,5.0
2574,150,5.0
4168,151,5.0
860,151,4.0
