uid,iid,rating
2553,1,5.0
2378,1,5.0
1952,1,5.0
2475,1,5.0
2524,2,3.0
2493,2,5.0
3120,2,5.0
299,2,4.0
603,2,4.0
1553,2,4.0
2217,2,4.0
858,2,4.0
2314,3,5.0
1216,3,5.0
1740,3,5.0
3217,3,5.0
20,3,5.0
2491,3,4.0
1694,3,5.0
1785,4,5.0
1280,5,5.0
1643,5,4.0
3258,5,3.0
2982,5,5.0
592,6,5.0
107,7,5.0
2967,8,1.0
1172,8,4.0
3300,8,3.0
363,8,1.0
1356,8,4.0
966,9,5.0
99,9,5.0
449,9,4.0
1302,9,5.0
1841,9,5.0
2860,9,5.0
1720,9,5.0
1972,9,5.0
893,9,5.0
1855,9,5.0
3131,10,4.0
2435,10,2.0
127,11,5.0
3257,11,3.0
1265,11,4.0
1646,11,5.0
3195,11,2.0
2598,11,5.0
3333,11,2.0
2180,12,4.0
2527,12,5.0
556,12,3.0
1309,12,5.0
2298,13,4.0
17,13,4.0
1742,13,5.0
3358,13,5.0
359,13,3.0
3134,13,5.0
556,13,3.0
2453,13,1.0
1534,13,4.0
774,13,5.0
2399,14,5.0
2220,14,4.0
1534,14,5.0
1906,15,5.0
2240,16,4.0
1847,17,5.0
3131,17,5.0
698,17,5.0
2264,17,4.0
206,18,3.0
2663,18,4.0
1609,18,5.0
664,19,4.0
3081,19,3.0
698,19,5.0
1689,19,5.0
3320,19,5.0
3333,19,5.0
2640,20,4.0
1671,20,5.0
2116,20,5.0
2598,20,4.0
2311,21,4.0
2804,21,4.0
1742,21,3.0
3124,21,5.0
2994,21,3.0
2793,21,5.0
1467,21,4.0
2536,21,3.0
1175,21,5.0
2130,21,5.0
217,21,3.0
2298,22,4.0
2736,22,5.0
1034,22,5.0
127,23,5.0
1269,23,5.0
1918,23,5.0
226,23,5.0
1269,24,1.0
1973,24,2.0
1972,24,4.0
1918,24,4.0
3063,24,3.0
3065,25,5.0
2977,25,4.0
3356,25,5.0
870,25,1.0
2763,25,5.0
3241,25,2.0
1884,25,5.0
119,26,2.0
3124,26,5.0
2264,26,2.0
2775,26,2.0
1618,26,5.0
3004,27,4.0
1332,27,4.0
90,27,5.0
1689,27,5.0
2941,28,4.0
206,28,3.0
3237,28,3.0
2590,28,3.0
3131,29,5.0
1918,29,5.0
2598,29,5.0
1047,29,5.0
1742,30,3.0
3053,30,4.0
2227,31,5.0
119,31,5.0
127,32,5.0
2130,32,5.0
1204,32,3.0
2264,32,3.0
972,32,5.0
598,33,5.0
2140,33,4.0
283,33,5.0
268,33,5.0
3244,33,5.0
1820,33,5.0
468,34,5.0
2943,34,4.0
563,34,5.0
515,34,5.0
594,34,3.0
82,35,5.0
2061,35,3.0
1103,35,5.0
123,35,5.0
2084,35,4.0
821,35,5.0
2170,35,5.0
2238,35,3.0
82,36,5.0
1241,36,4.0
2033,37,4.0
2715,37,5.0
819,37,5.0
1256,37,5.0
1105,37,5.0
1391,37,5.0
1700,37,4.0
2238,37,4.0
1370,37,5.0
3144,37,5.0
893,38,5.0
